"","municipio","per_ocu","count","perc"
"154","Halachó","51 a 100 personas",2,0.00156862745098039
"155","Halachó","6 a 10 personas",36,0.0282352941176471
"156","Hocabá","0 a 5 personas",200,0.854700854700855
"157","Hocabá","11 a 30 personas",12,0.0512820512820513
"158","Hocabá","31 a 50 personas",3,0.0128205128205128
"159","Hocabá","6 a 10 personas",19,0.0811965811965812
"160","Hoctún","0 a 5 personas",267,0.898989898989899
"161","Hoctún","11 a 30 personas",13,0.0437710437710438
"162","Hoctún","31 a 50 personas",2,0.00673400673400673
"163","Hoctún","51 a 100 personas",1,0.00336700336700337
"164","Hoctún","6 a 10 personas",14,0.0471380471380471
"165","Homún","0 a 5 personas",363,0.876811594202899
"166","Homún","11 a 30 personas",14,0.0338164251207729
"167","Homún","251 y más personas",1,0.00241545893719807
"168","Homún","31 a 50 personas",7,0.0169082125603865
"169","Homún","6 a 10 personas",29,0.070048309178744
"170","Huhí","0 a 5 personas",456,0.96
"171","Huhí","11 a 30 personas",5,0.0105263157894737
"172","Huhí","31 a 50 personas",1,0.00210526315789474
"173","Huhí","51 a 100 personas",1,0.00210526315789474
"174","Huhí","6 a 10 personas",12,0.0252631578947368
"175","Hunucmá","0 a 5 personas",1593,0.883527454242928
"176","Hunucmá","101 a 250 personas",3,0.00166389351081531
"177","Hunucmá","11 a 30 personas",82,0.0454797559622851
"178","Hunucmá","251 y más personas",4,0.00221852468108708
"179","Hunucmá","31 a 50 personas",11,0.00610094287298946
"180","Hunucmá","51 a 100 personas",4,0.00221852468108708
"181","Hunucmá","6 a 10 personas",106,0.0587909040488075
"182","Ixil","0 a 5 personas",251,0.906137184115523
"183","Ixil","101 a 250 personas",1,0.0036101083032491
"184","Ixil","11 a 30 personas",9,0.0324909747292419
"185","Ixil","51 a 100 personas",1,0.0036101083032491
"186","Ixil","6 a 10 personas",15,0.0541516245487365
"187","Izamal","0 a 5 personas",2207,0.931223628691983
"188","Izamal","101 a 250 personas",3,0.00126582278481013
"189","Izamal","11 a 30 personas",54,0.0227848101265823
"190","Izamal","31 a 50 personas",9,0.00379746835443038
"191","Izamal","51 a 100 personas",7,0.0029535864978903
"192","Izamal","6 a 10 personas",90,0.0379746835443038
"193","Kanasín","0 a 5 personas",3620,0.875665215287857
"194","Kanasín","101 a 250 personas",6,0.00145137880986938
"195","Kanasín","11 a 30 personas",187,0.0452346395742622
"196","Kanasín","251 y más personas",3,0.000725689404934688
"197","Kanasín","31 a 50 personas",26,0.00628930817610063
"198","Kanasín","51 a 100 personas",24,0.0058055152394775
"199","Kanasín","6 a 10 personas",268,0.0648282535074988
"200","Kantunil","0 a 5 personas",181,0.928205128205128
"201","Kantunil","11 a 30 personas",5,0.0256410256410256
"202","Kantunil","31 a 50 personas",2,0.0102564102564103
"203","Kantunil","6 a 10 personas",7,0.0358974358974359
"204","Kaua","0 a 5 personas",219,0.9125
"205","Kaua","11 a 30 personas",9,0.0375
"206","Kaua","31 a 50 personas",2,0.00833333333333333
"207","Kaua","6 a 10 personas",10,0.0416666666666667
"208","Kinchil","0 a 5 personas",297,0.894578313253012
"209","Kinchil","11 a 30 personas",12,0.036144578313253
"210","Kinchil","251 y más personas",1,0.00301204819277108
