"","denue_2021_merida$nombre_act"
"27407","Fabricación de muebles de oficina y estantería"
"27412","Fabricación de maquinaria y equipo para envasar y empacar"
"27415","Fabricación de otra maquinaria y equipo para el comercio y los servicios"
"27430","Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina"
"27460","Fabricación de persianas y cortineros"
"27856","Fabricación de tanques metálicos de calibre grueso"
"27864","Maquinado de piezas metálicas para maquinaria y equipo en general"
"27870","Fabricación de herrajes y cerraduras"
"27875","Fabricación de otros productos metálicos"
"27913","Fabricación de artículos oftálmicos"
"27916","Fabricación de productos metálicos forjados y troquelados"
"27937","Fabricación de aparatos de línea blanca"
"27951","Fabricación de cierres, botones y agujas"
"27972","Fabricación de escobas, cepillos y similares"
"28000","Metalistería de metales no preciosos"
"28001","Fabricación de velas y veladoras"
"28010","Fabricación de equipo de aire acondicionado y calefacción"
"28017","Fabricación de maquinaria y equipo para la industria extractiva"
"28026","Fabricación de embarcaciones"
"28029","Fabricación de herramientas de mano metálicas sin motor"
"28032","Fabricación de equipo para soldar y soldaduras"
"28035","Fabricación de artículos deportivos"
"28069","Moldeo por fundición de piezas de hierro y acero"
"28073","Fabricación de componentes electrónicos"
"28076","Fabricación de tornillos, tuercas, remaches y similares"
"28098","Fabricación de utensilios de cocina metálicos"
"28111","Fabricación de equipo y aparatos de distribución de energía eléctrica"
"28139","Fabricación de válvulas metálicas"
"28577","Fabricación de maquinaria y equipo para la industria de la impresión"
"28596","Fabricación de maquinaria y equipo para la industria textil"
"28599","Fabricación de calderas industriales"
"28650","Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"
"28710","Fabricación de maquinaria y equipo para la industria metalmecánica"
"28724","Fabricación de asientos y accesorios interiores para vehículos automotores"
"28728","Fabricación de motocicletas"
"28761","Laminación secundaria de cobre"
"28785","Fabricación de equipo aeroespacial"
"28798","Recubrimientos y terminados metálicos"
"28915","Fabricación de ataúdes"
"29142","Fabricación de envases metálicos de calibre ligero"
"29205","Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices"
"29737","Fabricación de tubos y postes de hierro y acero"
"29779","Fabricación de motores y generadores eléctricos"
"29826","Comercio al por mayor de equipo y material eléctrico"
"29827","Comercio al por mayor de abarrotes"
"29829","Comercio al por mayor de pan y pasteles"
"29833","Comercio al por mayor de equipo de telecomunicaciones, fotografía y cinematografía"
"29834","Comercio al por mayor de mobiliario y equipo de oficina"
"29853","Comercio al por mayor de mobiliario, equipo e instrumental médico y de laboratorio"
"29856","Comercio al por mayor de otra maquinaria y equipo de uso general"
"29859","Comercio al por mayor de maquinaria y equipo para la industria manufacturera"
"29860","Comercio al por mayor de desechos metálicos"
"29862","Comercio al por mayor de mobiliario, equipo, y accesorios de cómputo"
"29863","Comercio al por mayor de envases en general, papel y cartón para la industria"
"29866","Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca"
"29867","Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones"
"29868","Comercio al por mayor de materiales metálicos para la construcción y la manufactura"
"29887","Comercio al por mayor de cemento, tabique y grava"
"29897","Comercio al por mayor de miel"
"29899","Comercio al por mayor de otros materiales para la construcción, excepto de madera y metálicos"
"29900","Comercio al por mayor de pescados y mariscos"
"29901","Comercio al por mayor de frutas y verduras frescas"
"29902","Comercio al por mayor de productos farmacéuticos"
"29903","Comercio al por mayor de otras materias primas para otras industrias"
"29908","Comercio al por mayor de cerveza"
"29910","Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra"
"29912","Comercio al por mayor de bebidas no alcohólicas y hielo"
"29914","Comercio al por mayor de carnes rojas"
"29915","Comercio al por mayor de madera para la construcción y la industria"
"29917","Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas"
"29931","Comercio al por mayor de dulces y materias primas para repostería"
"29988","Comercio al por mayor de artículos de perfumería y cosméticos"
"29990","Comercio al por mayor de ganado y aves en pie"
"29991","Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial"
"30075","Comercio al por mayor de otros alimentos"
"30083","Comercio al por mayor de huevo"
"30086","Comercio al por mayor de juguetes y bicicletas"
"30087","Comercio al por mayor de ropa, bisutería y accesorios de vestir"
"30088","Comercio al por mayor de leche y otros productos lácteos"
"30120","Comercio al por mayor de camiones"
"30123","Intermediación de comercio al por mayor para productos de uso doméstico y personal, excepto a través de Internet y de otros medios electrónicos"
"30125","Comercio al por mayor de desechos de plástico"
"30130","Comercio al por mayor de conservas alimenticias"
"30148","Comercio al por mayor de artículos y accesorios para diseño y pintura artística"
"30150","Comercio al por mayor de otros materiales de desecho"
"30154","Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales"
"30161","Comercio al por mayor de fibras, hilos y telas"
"30168","Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos"
"30169","Comercio al por mayor de pintura"
"30172","Comercio al por mayor de artículos de joyería y relojes"
"30176","Comercio al por mayor de carne de aves"
"30185","Comercio al por mayor de artículos y aparatos deportivos"
"30187","Comercio al por mayor de botanas y frituras"
"30229","Comercio al por mayor de artículos desechables"
"30235","Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca"
