"","id","clee","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta"
"2759",6989200,"31080315222006411000000000U8","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","33","CALLE","22","CALLE","24","CALLE","31",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",13,"","","","Fijo",20.53000975,-89.3325001,"2019-11"
"2760",6989197,"31080315222006391000000000U2","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","22","CALLE","31","CALLE","33","CALLE","24",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",13,"9971054519","","","Fijo",20.53074164,-89.3315003,"2019-11"
"2761",4556346,"31080315222003151000000000U3","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","24","CALLE","NINGUNO","CALLE","13","CALLE","13",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",25,"","","","Fijo",20.54138968,-89.33044726,"2014-12"
"2762",6989203,"31080315222006431000000000U6","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","24","CALLE","31","CALLE","33","CALLE","22",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",13,"9992394465","","","Fijo",20.53062762,-89.33265412,"2019-11"
"2763",6989204,"31080315222006441000000000U5","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","31","CERRADA","20","CALLE","22","CALLE","35",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",3,"9971164418","","","Fijo",20.53099741,-89.331253,"2019-11"
"2764",6989194,"31080315222006381000000000U3","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","26","CALLE","31","CALLE","33","CALLE","24",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",23,"","","","Fijo",20.53154006,-89.33397376,"2019-11"
"2765",6988661,"31080315222005251000000000U9","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","27","CALLE","14","CALLE","16","CALLE","16",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",13,"9971017862","","","Fijo",20.53294123,-89.32486572,"2019-11"
"2766",4556630,"31080315222002481000000000U5","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CERRADA","20","CALLE","18","CALLE","22","CALLE","35",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",3,"","","","Fijo",20.53061732,-89.330424,"2014-12"
"2767",4556339,"31080315222002691000000000U9","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","24","CALLE","SIN REFERENCIA","CALLE","NINGUNO","CALLE","NINGUNO",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","149",1,"9971022037","","","Fijo",20.54523228,-89.32841309,"2014-12"
"2768",4564119,"31049315222000131000000000U3","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","15","CALLE","20","CALLE","18","CALLE","13",0,"SN","",NA,0,"","PUEBLO","MAYAPAN","","","",97908,31,"YUCATÁN       ",49,"Mayapán",1,"Mayapán","26",35,"","","","Fijo",20.47245329,-89.21370883,"2014-12"
